ID,Price,Bedroom amount,Bathroom amount,Area,Floor amount,Air conditioner,BBQ,Receptionists,GYM,Garden,Library,Park,Playground,Guard,Pool,Tennis court,Wifi,Location,Type,Near transport,Furnished
dd140517-b644-43f6-bf6e-0166149ac0dc,6500000000,3,2,135.0,0,0,1,1,1,1,1,0,1,1,1,1,1,ho-chi-minh,condos,0,fully
a1057893-6450-4345-b1c6-2ba937d14cc8,11094000000,2,2,82.0,0,0,1,1,1,1,1,0,1,1,1,1,1,ho-chi-minh,condos,0,fully
c976f2a3-4ba1-4952-920f-18000ef69e1b,7000000000,2,2,78.0,10,0,1,1,1,1,1,0,1,1,1,0,1,ho-chi-minh,condos,0,fully
0fff51fa-0f0c-451d-964f-d8a3eb0cf0d8,3400000000,1,1,55.0,10,0,1,1,1,1,1,0,1,1,1,1,1,ho-chi-minh,condos,0,fully
