ID,Price,Bedroom amount,Bathroom amount,Area,Floor amount,Air conditioner,BBQ,Receptionists,GYM,Garden,Library,Park,Playground,Guard,Pool,Tennis court,Wifi,Location,Type,Near transport,Furnished
8ed430d4-e289-4ece-8372-025bfdaa04d3,3100000000,4,4,46.0,4,0,0,0,0,0,0,0,0,0,0,0,0,ha-noi,houses,0,fully
c84f0edb-c6aa-468e-a243-f90cd9e0359b,2700000000,3,3,37.0,3,0,0,0,0,0,0,0,0,0,0,0,0,ha-noi,houses,0,fully
796ad64c-c6be-48c1-97d6-8a25232e1c9d,3750000000,6,4,42.0,5,0,0,0,0,0,0,0,0,0,0,0,0,ha-noi,houses,0,fully
77bfe531-b647-4b58-81f6-5e7bc93fbc63,5500000000,7,5,300.0,5,0,0,0,0,0,0,0,0,0,0,0,0,ha-noi,houses,0,fully
59c50ddb-b73e-41a3-8aa1-e51851da6018,3250000000,4,4,170.0,4,0,0,0,0,0,0,0,0,0,0,0,0,ha-noi,houses,0,fully
2d5722ed-a031-4434-8ca0-2c17e58ccac4,8500000000,2,1,280.0,1,0,1,0,0,1,0,0,1,0,0,0,1,ha-noi,houses,0,fully
10c6a448-538e-4c8a-8f02-9e1e57ec9df6,4099999999,4,3,45.0,4,0,0,0,0,0,0,0,0,0,0,0,0,ha-noi,houses,0,fully
562ea246-e14f-4f90-9059-447fbdb00391,3000000000,4,3,36.0,4,0,0,0,0,0,0,0,0,0,0,0,0,ha-noi,houses,0,fully
43ceac85-f77d-4ecb-843a-20186bad58df,7450000000,3,3,41.0,5,0,0,0,0,0,0,0,0,0,0,0,0,ha-noi,houses,0,fully
2fe01a04-cb78-4b76-849a-6c15b21b18da,2700000000,3,4,30.0,5,0,0,0,0,0,0,0,0,0,0,0,0,ha-noi,houses,0,fully
bd7550f6-bd99-4921-9eef-df0a0af21151,3940000000,4,3,40.0,5,0,0,0,0,0,0,0,0,0,0,0,0,ha-noi,houses,0,fully
26c2cd1a-7cef-4dd9-875a-b26961303b0b,8700000000,5,5,62.0,5,0,0,0,0,0,0,0,0,0,0,0,0,ha-noi,houses,0,fully
09a962a6-0618-4a55-afc3-f34a6ee70c60,3250000000,3,3,150.0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,ha-noi,houses,0,fully
beeda07a-1df9-4334-aec1-cabd4427aa10,4200000000,5,4,50.0,5,0,0,0,0,0,0,0,0,0,0,0,0,ha-noi,houses,0,fully
8e37ad84-e51c-4ebd-9e50-d3949b85a0ba,4000000000,5,4,250.0,5,0,0,0,0,0,0,0,0,0,0,0,0,ha-noi,houses,0,fully
355a4043-adde-454e-8ca1-9f8c6d1f0fe1,4300000000,4,4,200.0,4,0,0,0,0,0,0,0,0,0,0,0,0,ha-noi,houses,0,fully
f3bdacc6-1e05-46c2-879e-c2a09d68316b,4500000000,6,4,55.0,5,0,0,0,0,0,0,0,0,0,0,0,0,ha-noi,houses,0,fully
1fdb34e5-667c-4755-ba50-329f39338550,13200000000,5,4,65.0,5,0,0,0,0,0,0,0,0,0,0,0,0,ha-noi,houses,0,fully
0612d51d-fe54-42d2-be59-961b1d36565b,6600000000,5,6,272.0,4,0,1,0,0,1,1,0,1,0,0,0,1,ha-noi,houses,0,fully
025a1e4d-ee21-4793-a9a6-e5ec4b62b4bc,13200000000,6,6,300.0,5,0,0,0,0,0,0,0,0,0,0,0,0,ha-noi,houses,0,fully
0d9a4094-e43c-4ac5-a97d-420c39cf0164,2541000000,1,1,77.0,10,0,1,0,0,0,1,0,0,1,0,0,1,ha-noi,houses,0,fully
dbe16b86-c609-485d-9f26-2c7b6da7c69e,4300000000,3,3,67.0,3,0,0,0,0,0,0,0,0,0,0,0,0,ha-noi,houses,0,fully
a7b6b908-4c09-44e6-aec4-6939ae0887cf,3300000000,4,4,38.0,4,0,0,0,0,0,0,0,0,0,0,0,0,ha-noi,houses,0,fully
1144ddcf-8c71-4b99-88ef-b513693f4a75,1550000000,2,2,55.0,4,0,0,0,0,0,0,0,0,0,0,0,0,ha-noi,houses,0,fully
