ID,Price,Bedroom amount,Bathroom amount,Area,Floor amount,Air conditioner,BBQ,Receptionists,GYM,Garden,Library,Park,Playground,Guard,Pool,Tennis court,Wifi,Location,Type,Near transport,Furnished
Why invest in shophouse located next to metro stat,27032000000,0,0,162.21,0,1,1,1,1,1,1,1,1,1,1,1,1,ha-noi,retail-spaces,0,unfurnished
Shophouse located next to metro station - MRT line,27032000000,0,0,162.21,0,0,1,0,0,1,0,0,1,1,1,1,0,ha-noi,retail-spaces,0,unfurnished
5322640 ,70000000000,0,0,1420.0,0,1,1,1,1,1,1,1,1,1,1,1,1,ha-noi,retail-spaces,0,unfurnished
fbbb6d2c-aa22-4be0-8d71-4a68190c8ab7,6660000000,0,0,185.0,0,1,1,1,1,1,1,1,1,1,1,1,1,ha-noi,retail-spaces,0,unfurnished
fb93ff5a-274a-4a54-9d65-4176110c996c,40531000000,0,0,304.1,1,1,1,1,1,1,1,1,1,1,1,1,1,ha-noi,retail-spaces,0,unfurnished
ea5bf4d4-0e2c-4944-a735-b39ba00143de,27032000000,0,0,169.0,1,1,1,1,1,1,1,1,1,1,1,1,1,ha-noi,retail-spaces,0,unfurnished
d6adc924-2d02-476c-9096-f2cbc4623f4b,40531000000,0,0,304.1,1,1,1,1,1,1,1,1,1,1,1,1,1,ha-noi,retail-spaces,0,unfurnished
71c7934b-892e-4ba2-acd0-1870d3f3aaf3,27032000000,0,0,169.0,1,1,1,1,1,1,1,1,1,1,1,1,1,ha-noi,retail-spaces,0,unfurnished
1e7cb0c8-707b-4e5d-afbb-57bd07c42b01,40531000000,0,0,304.1,1,1,1,1,1,1,1,1,1,1,1,1,1,ha-noi,retail-spaces,0,unfurnished
c05e37b6-945d-4db1-9fb7-b2eb2d5f83da,27032000000,0,0,169.0,1,1,1,1,1,1,1,1,1,1,1,1,1,ha-noi,retail-spaces,0,unfurnished
b43aea62-47b9-4f1f-97d2-ef7ff6794bcd,40531000000,0,0,304.1,1,1,1,1,1,1,1,1,1,1,1,1,1,ha-noi,retail-spaces,0,unfurnished
1b046bb0-ea0c-41a1-b727-f714b172aa83,40531000000,0,0,304.1,1,1,1,1,1,1,1,1,1,1,1,1,1,ha-noi,retail-spaces,0,unfurnished
fcfced92-2981-418d-9f8d-f61216c245bf,40531000000,0,0,304.1,1,1,1,1,1,1,1,1,1,1,1,1,1,ha-noi,retail-spaces,0,unfurnished
bade7afd-3a00-451e-aa64-25e6bf2d3ada,27032000000,0,0,169.0,1,1,1,1,1,1,1,1,1,1,1,1,1,ha-noi,retail-spaces,0,unfurnished
c13efbd8-f28b-482b-9bd4-256beb8fa006,27032000000,0,0,169.0,1,1,1,1,1,1,1,1,1,1,1,1,1,ha-noi,retail-spaces,0,unfurnished
297a6ffd-ea40-4196-b136-f8df096bf51f,40531000000,0,0,304.1,1,1,1,1,1,1,1,1,1,1,1,1,1,ha-noi,retail-spaces,0,unfurnished
d02366d5-058b-4f24-9223-7b26952164dc,40531000000,0,0,304.1,1,1,1,1,1,1,1,1,1,1,1,1,1,ha-noi,retail-spaces,0,unfurnished
a62415fa-9488-4a06-abd3-76501d0970c9,27032000000,0,0,169.0,1,1,1,1,1,1,1,1,1,1,1,1,1,ha-noi,retail-spaces,0,unfurnished
0de80e30-1466-4997-b5f4-016d7f0f7e40,40531000000,0,0,304.1,1,1,1,1,1,1,1,1,1,1,1,1,1,ha-noi,retail-spaces,0,unfurnished
30d2bbe4-a9e6-47f7-b39a-119773c75b3c,27032000000,0,0,169.0,1,1,1,1,1,1,1,1,1,1,1,1,1,ha-noi,retail-spaces,0,unfurnished
147ea0e3-d000-4e9c-a5f2-ac171c8d3650,40531000000,0,0,304.1,1,1,1,1,1,1,1,1,1,1,1,1,1,ha-noi,retail-spaces,0,unfurnished
07a3d5d7-800a-4d53-bbd6-4cabd2c564e1,40531000000,0,0,304.1,1,1,1,1,1,1,1,1,1,1,1,1,1,ha-noi,retail-spaces,0,unfurnished
639577fa-f638-4684-9b16-15bbbcfb2f25,27032000000,0,0,169.0,1,1,1,1,1,1,1,1,1,1,1,1,1,ha-noi,retail-spaces,0,unfurnished
3e99c132-2d92-4e16-b077-56a1c746a51b,40531000000,0,0,304.1,1,1,1,1,1,1,1,1,1,1,1,1,1,ha-noi,retail-spaces,0,unfurnished
171e3038-b5b8-46f2-be3e-d86ac8aef012,27032000000,0,0,169.0,1,1,1,1,1,1,1,1,1,1,1,1,1,ha-noi,retail-spaces,0,unfurnished
fd393423-671c-4ffc-b3c9-6f1a016daa49,27032000000,0,0,169.0,1,1,1,1,1,1,1,1,1,1,1,1,1,ha-noi,retail-spaces,0,unfurnished
ec0db1f7-3d36-4e2c-a93d-cc5180f17872,40531000000,0,0,304.1,1,1,1,1,1,1,1,1,1,1,1,1,1,ha-noi,retail-spaces,0,unfurnished
91c847bb-7e7a-4bc2-b255-658a4705212e,27032000000,0,0,169.0,0,1,1,1,1,1,1,1,1,1,1,1,1,ha-noi,retail-spaces,0,unfurnished
81ac1d57-3596-4cee-b427-b874037b8f16,40531000000,0,0,304.1,0,1,1,1,1,1,1,1,1,1,1,1,1,ha-noi,retail-spaces,0,unfurnished
9bbfc3a4-598b-4e1d-97e0-9f1e8d1ce08c,40531000000,0,0,304.1,2,1,1,1,1,1,1,1,1,1,1,1,1,ha-noi,retail-spaces,0,unfurnished
1a8195c1-efbf-494d-835b-f62e3f701cef,27032000000,0,0,169.0,2,1,1,1,1,1,1,1,1,1,1,1,1,ha-noi,retail-spaces,0,unfurnished
914afa8a-037a-4aa9-9a98-aeaeaa8ef4d2,27032000000,0,0,169.0,0,1,1,1,1,1,1,1,1,1,1,1,1,ha-noi,retail-spaces,0,unfurnished
99bda11d-0716-4213-933c-cc46e38b1edf,27032000000,0,0,169.0,1,1,1,1,1,1,1,1,1,1,1,1,1,ha-noi,retail-spaces,0,unfurnished
